months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
294,44,477177,IL,1000,1226.49,0,460308,FEMALE,farming-fishing,unmarried,53900,0,Vehicle Theft,?,Trivial Damage,None,WV,Riverwood,5904 1st Drive,3,1,0,1,NO,6100,610,1220,4270,Ford,Fusion,2002,N
324,46,648509,IN,2000,897.89,6000000,618862,MALE,tech-support,wife,0,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Hillsdale,4519 Embaracadero St,13,1,1,0,YES,79600,15920,15920,47760,Jeep,Wrangler,2011,N
155,34,914815,IN,500,1706.79,0,462479,MALE,protective-serv,other-relative,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Hillsdale,9706 MLK Lane,1,1,1,1,YES,77040,8560,8560,59920,Honda,Civic,1998,N
245,40,144323,IN,500,885.08,0,459984,FEMALE,armed-forces,other-relative,27000,-58900,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,4098 Weaver Ridge,0,1,0,1,NO,85150,13100,13100,58950,Chevrolet,Malibu,1998,N
235,39,651861,IL,500,1046.58,4000000,434982,MALE,tech-support,wife,0,-31700,Vehicle Theft,?,Trivial Damage,None,NY,Hillsdale,6193 1st Hwy,1,1,2,1,NO,4950,450,900,3600,Chevrolet,Silverado,2010,N
53,36,125324,OH,2000,1712.68,0,614233,MALE,handlers-cleaners,not-in-family,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,4053 Sky Lane,17,3,2,0,YES,51100,10220,5110,35770,Audi,A3,2006,N
111,27,514065,IN,500,1363.77,4000000,604377,FEMALE,tech-support,husband,51100,0,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Springfield,9748 Sky Drive,12,1,2,3,NO,90970,16540,16540,57890,Accura,RSX,2009,N
86,26,391652,OH,500,1382.88,7000000,434923,MALE,tech-support,other-relative,0,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,2293 Washington Ave,11,1,1,1,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011,Y
296,46,922167,OH,1000,1141.35,7000000,476456,MALE,craft-repair,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbend,3656 Solo Ave,18,1,0,2,NO,54900,5490,5490,43920,Mercedes,C300,2013,N
125,35,442795,OH,500,1054.83,7000000,446788,MALE,tech-support,husband,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbend,8579 Apache Drive,17,1,2,3,NO,88660,8060,16120,64480,Mercedes,C300,2007,Y
177,34,226330,IL,2000,1057.77,0,477382,FEMALE,tech-support,unmarried,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,2003 Maple Hwy,22,3,1,1,NO,18000,2250,2250,13500,Audi,A3,2009,N
238,39,134430,IN,2000,1488.02,0,600275,FEMALE,protective-serv,other-relative,0,-39200,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,5445 Tree Hwy,9,1,1,3,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010,N
128,28,438817,OH,1000,986.53,0,472720,FEMALE,adm-clerical,other-relative,62700,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,7819 Oak St,11,1,0,2,YES,101860,18520,18520,64820,Honda,CRV,2007,N
449,57,293794,OH,2000,1440.68,0,442395,MALE,tech-support,own-child,25000,0,Parked Car,?,Minor Damage,None,SC,Riverwood,1845 Best St,8,1,0,1,YES,5390,980,980,3430,Volkswagen,Passat,2008,N
359,47,828890,OH,2000,1367.68,0,613247,FEMALE,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Arlington,6955 Pine Drive,13,1,0,3,NO,55500,5550,11100,38850,Mercedes,C300,2012,N
19,32,882920,OH,1000,1215.85,0,454985,MALE,other-service,husband,42900,-90200,Vehicle Theft,?,Minor Damage,Police,VA,Hillsdale,6165 Rock Ridge,8,1,1,1,YES,7040,1280,640,5120,Nissan,Maxima,2015,N
73,26,918777,IL,2000,1191.19,4000000,468813,MALE,farming-fishing,not-in-family,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,Northbrook,3653 Elm Drive,9,3,0,1,YES,40160,5020,0,35140,Chevrolet,Tahoe,2003,N
285,44,212580,IL,1000,1594.45,0,452747,MALE,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,5812 3rd Hwy,17,2,2,3,NO,55680,6960,6960,41760,Saab,95,2006,N
196,36,602410,IN,2000,1463.07,0,615611,MALE,armed-forces,own-child,0,0,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,4939 Best St,3,1,1,1,NO,5300,530,530,4240,Jeep,Grand Cherokee,2001,Y
328,48,630226,IL,500,1411.43,0,464874,MALE,armed-forces,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,9588 Solo St,17,1,2,1,NO,59400,5940,11880,41580,Honda,Civic,2014,N
30,31,247116,IL,2000,1153.35,0,430714,MALE,craft-repair,not-in-family,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,Hillsdale,3590 Best Hwy,9,1,2,1,YES,5760,960,960,3840,Suburu,Impreza,2011,N
342,49,505969,OH,500,1722.95,0,472634,MALE,transport-moving,not-in-family,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,6149 Best Ridge,3,1,2,0,YES,76700,7670,7670,61360,Suburu,Legacy,2006,N
219,39,653864,IN,2000,1281.07,7000000,608371,FEMALE,protective-serv,unmarried,0,0,Parked Car,?,Trivial Damage,Police,NY,Springfield,4116 Embaracadero Lane,6,1,0,2,NO,5920,740,740,4440,Chevrolet,Malibu,2015,N
223,43,650026,OH,500,1235.1,0,466959,FEMALE,tech-support,not-in-family,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,9138 3rd St,14,1,2,1,NO,54400,5440,5440,43520,BMW,M5,2011,N
128,32,547744,OH,2000,768.91,0,443522,FEMALE,sales,other-relative,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,3743 Andromedia Ridge,0,1,1,0,NO,59800,5980,5980,47840,Ford,F150,1999,Y
124,29,598124,OH,500,1301.72,0,441726,MALE,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,7644 Tree Ridge,14,3,0,3,YES,72000,7200,7200,57600,Audi,A3,2005,N
343,48,436126,IN,500,1451.54,3000000,473412,MALE,adm-clerical,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,3167 2nd St,13,4,2,3,NO,65070,7230,14460,43380,Mercedes,C300,2003,N
404,53,739447,IN,500,767.14,0,466201,MALE,sales,not-in-family,25500,-36700,Parked Car,?,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,8,1,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,N
63,24,427484,OH,2000,1620.89,0,469621,FEMALE,handlers-cleaners,other-relative,0,0,Vehicle Theft,?,Minor Damage,Police,NC,Hillsdale,8621 Best Ridge,7,1,2,0,NO,6120,1020,1020,4080,Toyota,Corolla,2015,N
335,50,565564,OH,1000,1538.26,6000000,615346,MALE,sales,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,9760 Solo Lane,12,3,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,N
272,43,509928,OH,1000,1279.13,0,615226,MALE,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,3172 Tree Ridge,5,3,1,2,YES,81070,7370,14740,58960,Audi,A3,2006,Y
69,26,593390,IL,2000,924.72,0,437688,FEMALE,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,6104 Oak Ave,14,1,2,2,NO,63120,5260,10520,47340,Audi,A5,2008,N
38,28,970607,OH,1000,1019.44,0,437387,MALE,transport-moving,not-in-family,0,-39700,Vehicle Theft,?,Trivial Damage,None,NC,Springfield,9742 5th Ridge,17,1,2,1,NO,7200,1440,720,5040,BMW,X5,2004,N
281,43,529398,OH,1000,1515.18,6000000,443191,MALE,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,9798 Sky Ridge,21,3,1,0,NO,60190,9260,9260,41670,BMW,X6,1999,N
246,44,940942,OH,2000,1649.18,0,613647,MALE,farming-fishing,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,5483 Francis Drive,18,1,1,2,YES,61380,11160,5580,44640,Honda,Civic,2009,Y
298,49,442677,OH,500,1451.01,0,460820,FEMALE,other-service,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,2005 Texas Hwy,17,1,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N
330,50,365364,IL,1000,978.46,0,431121,FEMALE,sales,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,6634 Texas Ridge,19,1,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N
362,50,114839,IL,500,1198.34,4000000,619735,MALE,sales,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,17,3,1,1,NO,57060,6340,6340,44380,Mercedes,E400,1995,N
241,38,872734,IN,2000,1003.23,0,470485,FEMALE,tech-support,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,23,3,0,3,YES,77880,12980,12980,51920,Accura,MDX,2008,N
245,41,267885,IN,2000,1212,0,620473,MALE,exec-managerial,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N
343,52,629663,IL,1000,1053.02,0,602402,FEMALE,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y
377,53,839884,IL,500,1693.63,0,452456,FEMALE,craft-repair,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,1,3,NO,59040,6560,6560,45920,Saab,93,2015,N
154,37,241562,IL,1000,2047.59,0,439269,FEMALE,farming-fishing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N
166,34,405533,OH,1000,1083.72,0,617774,FEMALE,machine-op-inspct,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,3550 Washington Ave,18,1,0,2,YES,53680,4880,4880,43920,Honda,CRV,2005,N
298,46,667021,OH,1000,1138.42,6000000,477678,MALE,prof-specialty,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N
235,42,511621,IN,500,1072.62,0,444913,FEMALE,machine-op-inspct,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,3654 Cherokee Ave,7,4,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N
172,35,476923,IL,2000,1219.04,0,456602,MALE,handlers-cleaners,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,7380 5th Hwy,19,3,2,0,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,N
27,28,735822,IN,2000,1371.78,0,451560,MALE,farming-fishing,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,2539 Embaracadero Ridge,10,3,0,2,YES,53600,5360,10720,37520,Audi,A5,2015,Y
99,32,130930,IN,1000,1058.21,3000000,618655,MALE,craft-repair,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,17,1,1,1,NO,41130,4570,4570,31990,Dodge,RAM,1999,N
107,26,261119,IL,2000,932.14,0,612550,MALE,sales,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,1273 Rock Lane,2,3,2,3,NO,78650,14300,7150,57200,Audi,A3,1996,Y
249,43,547802,IL,1000,1518.46,0,606238,FEMALE,armed-forces,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,0,0,YES,53500,5350,5350,42800,Saab,92x,2015,N
177,38,600845,IL,2000,1540.19,0,463842,FEMALE,adm-clerical,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,20,1,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,Y
190,40,390381,OH,2000,965.21,0,610354,FEMALE,exec-managerial,other-relative,36900,-53700,Parked Car,?,Trivial Damage,None,SC,Hillsdale,8404 Embaracadero St,10,1,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001,N
174,36,629918,IL,2000,1278.75,0,461328,FEMALE,tech-support,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,2,2,NO,65400,10900,10900,43600,Dodge,RAM,2012,N
95,28,208298,OH,1000,773.99,0,458727,MALE,armed-forces,other-relative,0,-70300,Vehicle Theft,?,Trivial Damage,None,PA,Springfield,6359 MLK Ridge,3,1,1,2,NO,3200,640,320,2240,Mercedes,E400,2014,N
371,51,513099,IN,1000,1532.47,0,452587,FEMALE,tech-support,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,0,3,YES,75400,7540,15080,52780,Dodge,RAM,2012,Y
2,28,184938,IL,1000,1340.56,0,433184,FEMALE,machine-op-inspct,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,19,1,0,2,YES,58140,6460,6460,45220,Saab,92x,2008,N
101,27,326322,IL,1000,433.33,0,603269,MALE,machine-op-inspct,other-relative,25900,0,Parked Car,?,Minor Damage,None,SC,Hillsdale,6067 Weaver Ridge,7,1,0,3,NO,5900,1180,590,4130,Mercedes,E400,2009,N
94,30,146138,IN,2000,1025.54,0,442632,FEMALE,armed-forces,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,N
117,28,336047,OH,500,1264.77,0,447300,FEMALE,transport-moving,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,0,1,?,55440,5040,10080,40320,Suburu,Forrestor,2009,Y
111,27,532330,OH,500,1459.97,5000000,441783,MALE,sales,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,Y
242,40,118137,OH,500,1238.65,0,468702,FEMALE,transport-moving,husband,0,-44600,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,1,1,NO,7480,680,680,6120,Saab,95,1998,N
440,61,212674,OH,500,1050.76,0,467942,MALE,transport-moving,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,2,3,NO,53640,5960,5960,41720,Nissan,Maxima,2004,Y
20,23,935596,OH,1000,1711.72,0,463678,FEMALE,tech-support,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,21,3,2,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y
461,57,737593,IL,500,865.33,7000000,615220,FEMALE,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,0,1,?,59040,9840,9840,39360,Dodge,RAM,1995,N
208,36,812025,IL,500,1153.49,0,432711,MALE,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,1,0,YES,50500,10100,5050,35350,Accura,TL,2004,N
279,43,168151,OH,2000,1281.25,0,463583,MALE,machine-op-inspct,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010,Y
244,40,594739,IL,500,1342.8,0,439502,FEMALE,sales,husband,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,Springfield,6259 Weaver St,2,1,1,3,YES,5940,660,660,4620,Toyota,Camry,2014,N
134,30,843227,OH,2000,1443.32,0,613287,FEMALE,exec-managerial,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,19,3,0,2,YES,47790,5310,5310,37170,Suburu,Impreza,1995,Y
122,29,283925,OH,1000,1629.94,0,620104,FEMALE,priv-house-serv,other-relative,0,-47100,Parked Car,?,Trivial Damage,None,SC,Riverwood,7828 Cherokee Ave,17,1,0,1,NO,3850,350,350,3150,Dodge,Neon,2014,N
156,31,475588,IL,2000,1134.08,0,446895,MALE,other-service,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,2,0,?,59000,5900,5900,47200,Ford,Fusion,2013,Y
232,43,751905,OH,500,1483.91,8000000,431531,MALE,machine-op-inspct,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,0,1,?,70600,7060,14120,49420,Volkswagen,Passat,2013,Y
244,40,226725,IN,2000,1304.67,7000000,605408,MALE,armed-forces,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,1,1,?,61490,5590,11180,44720,Dodge,RAM,2001,N
84,30,942504,IL,2000,1035.79,0,457551,FEMALE,protective-serv,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,N
394,57,395572,IL,500,1401.2,0,619892,FEMALE,craft-repair,own-child,51500,0,Vehicle Theft,?,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,1,0,NO,6890,1060,1060,4770,Audi,A5,1999,N
246,45,889883,IL,1000,1665.45,0,445853,MALE,machine-op-inspct,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,9,3,2,2,?,53280,11840,5920,35520,Toyota,Camry,2006,Y
35,29,818167,IN,2000,653.66,0,475483,FEMALE,handlers-cleaners,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,0,0,?,78300,15660,7830,54810,BMW,X5,2009,N
156,37,277767,OH,500,1080.13,0,606290,MALE,protective-serv,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,N
195,36,842618,IN,2000,1346.18,0,611852,FEMALE,machine-op-inspct,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N
369,55,577810,OH,2000,1589.54,0,444734,MALE,handlers-cleaners,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003,N
271,40,873114,IL,1000,1251.65,0,433683,FEMALE,other-service,wife,71200,0,Parked Car,?,Minor Damage,None,NY,Hillsdale,1365 Francis Ave,6,1,0,0,NO,3080,560,280,2240,Audi,A3,2012,N
332,47,994538,IL,2000,1083.01,0,448882,MALE,craft-repair,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,2,0,?,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y
107,26,727792,OH,500,974.59,0,466838,FEMALE,armed-forces,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,2002,N
217,39,522506,IL,2000,1399.85,0,605490,FEMALE,other-service,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,0,2,?,64920,10820,10820,43280,Ford,Fusion,1997,N
243,43,367595,IN,500,1307.74,0,466137,FEMALE,machine-op-inspct,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,0,1,NO,37530,4170,4170,29190,Jeep,Wrangler,2008,N
296,42,586104,IN,2000,1219.27,0,466970,MALE,tech-support,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,1,2,NO,64080,7120,7120,49840,Saab,93,2012,N
264,41,424862,OH,500,1411.3,0,474801,MALE,prof-specialty,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,1,0,?,60390,10980,5490,43920,BMW,M5,2004,Y
108,33,512813,IL,2000,694.45,0,450703,FEMALE,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,6,3,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,Y
32,38,356768,IL,500,1006.77,6000000,478172,FEMALE,other-service,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,N
259,39,330506,OH,1000,1422.36,0,604668,FEMALE,craft-repair,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,1,3,?,46560,7760,7760,31040,Nissan,Ultima,2012,N
186,33,779075,IN,1000,1348.32,0,469429,FEMALE,craft-repair,wife,37600,-37600,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,2,1,?,4730,860,860,3010,Chevrolet,Malibu,2013,Y
201,40,799501,OH,2000,1315.56,0,471806,FEMALE,transport-moving,not-in-family,0,0,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,0,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,N
436,58,987905,OH,2000,1407.01,5000000,475705,MALE,tech-support,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,0,2,?,59900,11980,5990,41930,BMW,X5,1997,Y
189,36,967756,OH,2000,1388.58,0,459122,FEMALE,priv-house-serv,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,1,3,YES,79560,13260,13260,53040,Ford,Escape,2009,N
105,33,830414,IL,500,1310.76,0,476737,FEMALE,adm-clerical,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,0,1,?,70290,12780,6390,51120,Accura,MDX,2008,N
163,31,127313,IN,1000,1004.63,6000000,460359,MALE,priv-house-serv,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,1999,N
219,40,786957,OH,500,1134.91,0,452735,FEMALE,transport-moving,not-in-family,68700,0,Vehicle Theft,?,Trivial Damage,None,SC,Riverwood,5901 Elm Drive,6,1,1,0,NO,6400,640,640,5120,Toyota,Camry,1997,N
88,25,332892,IN,1000,1194,0,613583,FEMALE,handlers-cleaners,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,1,2,YES,66780,7420,7420,51940,Ford,Escape,2013,Y
40,39,448642,IN,1000,1248.25,4000000,605692,FEMALE,sales,own-child,0,-33300,Parked Car,?,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,0,2,?,8760,1460,1460,5840,BMW,3 Series,2013,N
284,42,526039,OH,500,1338.54,-1000000,438178,MALE,machine-op-inspct,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,0,1,?,94160,8560,17120,68480,Chevrolet,Malibu,1996,N
59,40,444422,IL,2000,782.23,0,449221,MALE,protective-serv,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,0,2,NO,51570,5730,11460,34380,BMW,X5,2010,N
39,31,689500,IL,2000,1366.9,0,459322,FEMALE,handlers-cleaners,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,1,0,NO,52700,10540,10540,31620,BMW,X6,2014,Y
147,34,806081,IL,1000,1275.81,0,472657,MALE,sales,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,2,2,?,101010,15540,15540,69930,Mercedes,ML350,1998,N
156,37,384618,IN,500,1090.65,0,608331,MALE,exec-managerial,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,1,2,YES,53400,5340,5340,42720,Honda,Civic,2010,Y
123,31,756459,IN,500,1326,0,438546,FEMALE,prof-specialty,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,1,2,NO,72120,12020,12020,48080,Mercedes,ML350,2009,N
231,43,655787,IL,2000,972.47,0,441981,MALE,protective-serv,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,15,3,2,2,YES,77100,7710,15420,53970,Audi,A3,2010,N
247,39,419954,IL,500,806.31,0,602177,FEMALE,handlers-cleaners,wife,0,0,Parked Car,?,Trivial Damage,Police,SC,Northbend,5279 Pine Ridge,3,1,2,3,?,3300,600,0,2700,Dodge,RAM,2003,N
194,35,275092,IL,500,1416.24,0,441659,FEMALE,adm-clerical,not-in-family,0,0,Parked Car,?,Minor Damage,None,WV,Northbend,8078 Britain Hwy,7,1,1,0,?,5940,1080,540,4320,Nissan,Pathfinder,2003,N
